"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3976","has title","firefox","2026-04-20","passed","2026-04-20","","example.spec.js","",""
"","509","Ошибка при отрицательной сумме","chromium","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
"","5222","get started link","chromium","2026-04-20","passed","2026-04-20","","example.spec.js","",""
"","1923","Конвертация суммы: 1000.5","webkit","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
"","2978","Конвертация суммы: 100","firefox","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
"","1208","Ошибка при нулевой сумме","webkit","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
"","1063","Ошибка при отрицательной сумме","firefox","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
"","2810","get started link","webkit","2026-04-20","passed","2026-04-20","","example.spec.js","",""
"","1680","Успешная конвертация USD -> BYN","webkit","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
"","373","Ошибка при нулевой сумме","chromium","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
"","976","Ошибка при нулевой сумме","firefox","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
"","384","Ошибка при одинаковых валютах","chromium","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
"","1647","Ошибка при отрицательной сумме","webkit","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
"","740","Конвертация суммы: 1000.5","firefox","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
"","1823","Конвертация суммы: 100","webkit","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
"","4776","has title","chromium","2026-04-20","passed","2026-04-20","","example.spec.js","",""
"","5697","get started link","firefox","2026-04-20","passed","2026-04-20","","example.spec.js","",""
"","1149","Ошибка при одинаковых валютах","firefox","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
"","2836","Успешная конвертация USD -> BYN","firefox","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
"","1596","Ошибка при одинаковых валютах","webkit","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
"","846","Конвертация суммы: 100","chromium","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
"","2234","has title","webkit","2026-04-20","passed","2026-04-20","","example.spec.js","",""
"","614","Успешная конвертация USD -> BYN","chromium","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
"","417","Конвертация суммы: 1000.5","chromium","2026-04-20","passed","2026-04-20","Конвертер валют","main-flow.spec.js","",""
